timestamp,pair_idx,source,target,n_vertices,k_eigen,eigen_seed,note_k,note_residual,geo_hst,t_hst,geo_zoom_rand,t_zoom_rand,geo_zoom_hst,t_zoom_hst,improvement_pct,winner,status
2026-05-06 18:32:00,0,tr_reg_000.ply,tr_reg_001.ply,6890,50,42,1,0.000133,0.120390,0.835,0.280713,6.672,0.052020,7.344,81.47,HST+ZoomOut,OK
2026-05-06 18:32:00,1,tr_reg_001.ply,tr_reg_002.ply,6890,50,42,1,0.000097,0.124368,0.837,0.315701,6.633,0.034307,7.341,89.13,HST+ZoomOut,OK
2026-05-06 18:32:00,2,tr_reg_002.ply,tr_reg_003.ply,6890,50,42,1,0.000075,0.092921,0.846,0.327491,6.669,0.121362,7.811,62.94,HST Note,OK
2026-05-06 18:32:00,3,tr_reg_003.ply,tr_reg_004.ply,6890,50,42,1,0.000105,0.130133,0.858,0.265515,7.071,0.281005,7.868,-5.83,HST Note,OK
2026-05-06 18:32:00,4,tr_reg_004.ply,tr_reg_005.ply,6890,50,42,1,0.000166,0.161544,0.983,0.492432,6.973,0.114540,7.925,76.74,HST+ZoomOut,OK
2026-05-06 18:32:00,5,tr_reg_005.ply,tr_reg_006.ply,6890,50,42,1,0.000141,0.085185,1.015,0.315282,6.944,0.040701,7.939,87.09,HST+ZoomOut,OK
2026-05-06 18:32:00,6,tr_reg_006.ply,tr_reg_007.ply,6890,50,42,1,0.000094,0.081869,0.891,0.370705,7.000,0.091083,8.024,75.43,HST Note,OK
2026-05-06 18:32:00,7,tr_reg_007.ply,tr_reg_008.ply,6890,50,42,1,0.000114,0.146803,0.922,0.497406,7.022,0.261989,7.845,47.33,HST Note,OK
2026-05-06 18:32:00,8,tr_reg_008.ply,tr_reg_009.ply,6890,50,42,1,0.000140,0.126944,0.890,0.246416,6.996,0.187843,7.802,23.77,HST Note,OK
2026-05-06 18:32:00,9,tr_reg_009.ply,tr_reg_010.ply,6890,50,42,1,0.000157,0.154704,0.898,0.319106,6.957,0.254095,7.803,20.37,HST Note,OK
2026-05-06 18:32:00,10,tr_reg_010.ply,tr_reg_011.ply,6890,50,42,1,0.000129,0.120320,0.870,0.311162,6.983,0.066992,7.809,78.47,HST+ZoomOut,OK
2026-05-06 18:32:00,11,tr_reg_011.ply,tr_reg_012.ply,6890,50,42,1,0.000179,0.142194,0.915,0.307850,7.144,0.196393,7.992,36.21,HST Note,OK
2026-05-06 18:32:00,12,tr_reg_012.ply,tr_reg_013.ply,6890,50,42,1,0.000080,0.089360,0.942,0.296028,7.008,0.111994,7.879,62.17,HST Note,OK
2026-05-06 18:32:00,13,tr_reg_013.ply,tr_reg_014.ply,6890,50,42,1,0.000135,0.144348,0.943,0.363761,6.922,0.339330,7.849,6.72,HST Note,OK
2026-05-06 18:32:00,14,tr_reg_014.ply,tr_reg_015.ply,6890,50,42,1,0.000164,0.148723,0.959,0.349269,6.930,0.335540,7.909,3.93,HST Note,OK
2026-05-06 18:32:00,15,tr_reg_015.ply,tr_reg_016.ply,6890,50,42,1,0.000143,0.098598,0.893,0.314341,6.926,0.328781,7.920,-4.59,HST Note,OK
2026-05-06 18:32:00,16,tr_reg_016.ply,tr_reg_017.ply,6890,50,42,1,0.000110,0.082006,0.945,0.253754,7.031,0.335643,8.389,-32.27,HST Note,OK
2026-05-06 18:32:00,17,tr_reg_017.ply,tr_reg_018.ply,6890,50,42,1,0.000146,0.143930,0.761,0.309394,7.478,0.207481,8.182,32.94,HST Note,OK
2026-05-06 18:32:00,18,tr_reg_018.ply,tr_reg_019.ply,6890,50,42,1,0.000213,0.107202,0.782,0.279453,7.270,0.137566,7.830,50.77,HST Note,OK
2026-05-06 18:32:00,19,tr_reg_019.ply,tr_reg_020.ply,6890,50,42,1,0.000128,0.209205,0.729,0.346005,7.236,0.312659,7.646,9.64,HST Note,OK
2026-05-06 18:32:00,20,tr_reg_020.ply,tr_reg_021.ply,6890,50,42,1,0.000088,0.124978,0.900,0.393152,6.998,0.156985,7.831,60.07,HST Note,OK
2026-05-06 18:32:00,21,tr_reg_021.ply,tr_reg_022.ply,6890,50,42,1,0.000095,0.139596,0.868,0.412521,7.117,0.123140,7.838,70.15,HST+ZoomOut,OK
2026-05-06 18:32:00,22,tr_reg_022.ply,tr_reg_023.ply,6890,50,42,1,0.000107,0.102430,0.901,0.273820,6.901,0.207410,7.823,24.25,HST Note,OK
2026-05-06 18:32:00,23,tr_reg_023.ply,tr_reg_024.ply,6890,50,42,1,0.000165,0.171025,0.907,0.442136,6.964,0.505520,7.833,-14.34,HST Note,OK
2026-05-06 18:32:00,24,tr_reg_024.ply,tr_reg_025.ply,6890,50,42,1,0.000114,0.228128,0.963,0.350757,6.971,0.349441,7.902,0.38,HST Note,OK
2026-05-06 18:32:00,25,tr_reg_025.ply,tr_reg_026.ply,6890,50,42,1,0.000116,0.094748,1.078,0.331330,7.026,0.205340,8.115,38.03,HST Note,OK
2026-05-06 18:32:00,26,tr_reg_026.ply,tr_reg_027.ply,6890,50,42,1,0.000111,0.099815,0.922,0.349283,7.003,0.204096,7.855,41.57,HST Note,OK
2026-05-06 18:32:00,27,tr_reg_027.ply,tr_reg_028.ply,6890,50,42,1,0.000245,0.504455,0.736,0.427384,7.068,0.398483,7.710,6.76,HST+ZoomOut,OK
